name,synth,flatten,extract_fa,abc_script,area,delay,module,type1,type2,bitwidth,const_v,is_const,adder_1_area,adder_2_area,adder_1_delay,adder_2_delay
n_2_input/low_level_2_adder_2_3.v,0,1,1,6,0.84564,124.89,3,low,adder,2,1,False,0.33534,0.33534,41.99,37.1
n_2_input/low_level_2_adder_2_3.v,0,1,1,7,0.84564,126.91,3,low,adder,2,1,False,0.33534,0.33534,41.99,41.99
n_2_input/low_level_2_adder_2_3.v,1,0,0,0,1.6767,128.33,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,1,1.6767,126.65,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,2,1.72044,126.82,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,3,1.77876,120.19,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,4,1.7496,103.81,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,5,1.98288,134.88,3,low,adder,2,1,False,0.71442,0.729,45.58,55.27
n_2_input/low_level_2_adder_2_3.v,1,0,0,6,1.72044,117.99,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,0,7,1.6767,126.65,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,0,1,0,1.54548,183.17,3,low,adder,2,1,False,0.55404,0.55404,75.14,70.26
n_2_input/low_level_2_adder_2_3.v,1,0,1,1,1.54548,185.37,3,low,adder,2,1,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_3.v,1,0,1,2,1.54548,182.14,3,low,adder,2,1,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_3.v,1,0,1,3,1.3851,146.59,3,low,adder,2,1,False,0.33534,0.55404,39.12,70.26
n_2_input/low_level_2_adder_2_3.v,1,0,1,4,1.3851,145.7,3,low,adder,2,1,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_3.v,1,0,1,5,1.41426,156.62,3,low,adder,2,1,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_3.v,1,0,1,6,1.32678,164.89,3,low,adder,2,1,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_3.v,1,0,1,7,1.54548,185.28,3,low,adder,2,1,False,0.33534,0.55404,41.99,70.26
n_2_input/low_level_2_adder_2_3.v,1,1,0,0,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,1,0.91854,53.98,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,2,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,3,1.19556,91.09,3,low,adder,2,1,False,0.61236,0.64152,35.4,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,4,1.19556,93.78,3,low,adder,2,1,False,0.64152,0.64152,38.66,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,5,1.34136,105.34,3,low,adder,2,1,False,0.729,0.729,55.27,55.27
n_2_input/low_level_2_adder_2_3.v,1,1,0,6,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,0,7,0.8748,63.4,3,low,adder,2,1,False,0.59778,0.64152,36.24,38.66
n_2_input/low_level_2_adder_2_3.v,1,1,1,0,1.06434,157.95,3,low,adder,2,1,False,0.33534,0.55404,37.1,70.26
n_2_input/low_level_2_adder_2_3.v,1,1,1,1,0.84564,128.55,3,low,adder,2,1,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_3.v,1,1,1,2,0.84564,128.55,3,low,adder,2,1,False,0.33534,0.55404,39.12,66.61
n_2_input/low_level_2_adder_2_3.v,1,1,1,3,0.90396,131.98,3,low,adder,2,1,False,0.33534,0.55404,39.12,70.26
n_2_input/low_level_2_adder_2_3.v,1,1,1,4,0.90396,131.83,3,low,adder,2,1,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_adder_2_3.v,1,1,1,5,1.19556,163.13,3,low,adder,2,1,False,0.33534,0.55404,41.99,75.14
n_2_input/low_level_2_adder_2_3.v,1,1,1,6,1.06434,156.01,3,low,adder,2,1,False,0.55404,0.55404,75.14,66.61
n_2_input/low_level_2_adder_2_3.v,1,1,1,7,1.06434,139.15,3,low,adder,2,1,False,0.55404,0.55404,70.26,70.26
n_2_input/low_level_2_low_level_2_3.v,0,0,0,0,1.63296,113.21,3,low,low,2,1,False,0.59778,0.59778,36.24,36.24
n_2_input/low_level_2_low_level_2_3.v,0,0,0,1,1.63296,112.93,3,low,low,2,1,False,0.59778,0.59778,36.24,36.24
n_2_input/low_level_2_low_level_2_3.v,0,0,0,2,1.63296,113.21,3,low,low,2,1,False,0.59778,0.59778,36.24,36.24
n_2_input/low_level_2_low_level_2_3.v,0,0,0,3,1.72044,105.57,3,low,low,2,1,False,0.61236,0.61236,35.37,35.37
